tag,ua,en,ru
acc_evacuation_p1_2,"- Якщо ви рятуєтеся з окупованих територій через територію РФ і вам потрібна допомога з побудовою маршруту та транспортом після перетину кордону з Естонією, ви можете написати в організацію Друзі Маріуполя: відправте заявку в телеграмм бот: @mariupol_estonia_bot ","- If you are fleeing the occupied territories through Russian Federation  and need help with building a route and transport after crossing the border with Estonia, you can write to the Friends of Mariupol organization: please write enquiry to telegram bot: @mariupol_estonia_bot ","- Если вы спасаетесь с оккупированных территорий через территорию РФ и вам  нужна помощь с построением маршрута и транспортом после пересечения границы с Эстонией, вы можете написать в организацию Друзья Мариуполя: оставте заявку в телеграмм бот: @mariupol_estonia_bot"
acc_evacuation_p1_2_link,https://t.me/mariupol_estonia_bot,,
acc_evacuation_p1_3,вебсайт ,website,вебсайт 
acc_evacuation_p1_3_link,https://helihool.ee/index.html,,
acc_evacuation_p1_4,facebook,facebook,
acc_evacuation_p1_4_link,https://www.facebook.com/MariupoliSobrad,,
acc_evacuation_p1_5,Волонтерів організації можна знайти в Нарві у волонтерському центрі біженців (Vaksali 19) та в Талліні на автовокзалі (Lastekodu 46).,Volunteers from Friends of Mariupol can be found in Narva at the Refugee Center (Vaksali 22) and in Tallinn at the bus station (Lastekodu 46).,Волонтеров организации можно найти в Нарве в волонтерском центре беженцев (Vaksali 19) и в Таллинне на автовокзале (Lastekodu 46).
acc_evacuation_p1_6,- Якщо вас депортували до росії чи в так звану ДНР ви можете також спитати пораду в цьому телеграм каналі @deportationtoRF,"- If you have been deported to russia, you can also ask for advice in this telegram channel @deportationtoRF","- Если вас депортировали в РФ, вы можете также спросить совет в этом телеграмм канале @deportationtoRF."
acc_evacuation_p1_6_link,https://t.me/deportationtoRF,,
acc_evacuation_h2_2,Додаткова інформація,Additional information,Додаткова інформація
acc_evacuation_p1_7,"- Також, запитати поради завжди можна в фейсбук групі українців в Естонії ",- For any kind of questions you can use Ukrainians in Estonia group ,- По любым вопросам вы можете использовать группу Украинцы в Эстонии 
acc_evacuation_p1_7_link,https://www.facebook.com/groups/1548399682110889,,
acc_evacuation_p1_8,- Сторінка Естонського центру біженців: ,- Estonian Refugee Council page  ,- Страница Эстонского совета по делам беженцев 
acc_evacuation_p1_8_link,https://www.facebook.com/pagulasabi,,
acc_settlement_h1,Я вже в Естонії або прямую до Eстонії самотужки - що мені робити?  ,I am in Estonia or driving to Estonia myself - what should I do?  ,Я нахожусь в Эстонии или еду в Эстонию сам - что мне делать?
acc_settlement_h2_1,Крок 1,Step 1,Шаг 1
acc_settlement_p1_1,"- Прийдіть за адресою Tallinn, Niine 2. Відкрито пн-пт 8:00-17:00. Там вам нададуть інформацію, про безкоштовне тимчасове житло. Детальніше ","- Come to Tallinn, Niine 2. They are open Monday to Friday 8:00 - 17:00. There you will be provided with information about free temporary housing. Read more","- Приезжайте в Таллинн, Ниине 2. Открыты пн-пт 8:00-17:00. Там вам предоставят информацию о бесплатном временном жилье. Подробнее"
acc_settlement_p1_1_link,https://www.tallinn.ee/rus/ukraina/Tsentr-prijomu-vojennih-bizhentsiv-v-Tallinni,,
acc_settlement_p1_2,- Або подзвоніть на одну з гарячих ліній:,- Or you can call to any hotline:,- Или вы можете позвонить на любую горячую линию: 
acc_settlement_p1_2_1,"+372 5350 0595 (дзвінок, Viber, Telegram)","+372 5350 0595 (phone call, Viber, Telegram)","+372 5350 0595 (звонок, Viber, Telegram)"
acc_settlement_p1_2_2,"+372 5350 0609 (дзвінок, Viber, Telegram)","+372 5350 0609 (phone call, Viber, Telegram)","+372 5350 0609 (звонок, Viber, Telegram)"
acc_settlement_p1_2_3,"+372 5350 0208 (дзвінок, Viber, Telegram)","+372 5350 0208 (phone call, Viber, Telegram)","+372 5350 0208 (звонок, Viber, Telegram)"
acc_settlement_p1_2_4,"+372 5420 0809 (дзвінок, Viber, Telegram)","+372 5420 0809 (phone call, Viber, Telegram)","+372 5420 0809 (звонок, Viber, Telegram)"
acc_settlement_h2_2,Додаткова інформація:,Additional Information:,Дополнительная информация:
acc_settlement_p1_3,"- Безкоштовне житло на Airbnb для жінок з дітьми. Житло надають біженцям від неурядової організації Nova Ukraine та Марш жінок. Вони видаватимуть ваучери номіналом у €1000-2000 з терміном використання, а ви самі зможете обирати житло та період проживання. Як отримати ваучер?","- Free accommodation on Airbnb for women with children. Housing is provided to refugees by the non-governmental organization Nova Ukraine and the Women's March. They will issue vouchers with a face value of € 1000-2000 for the period of use, and you can choose the accommodation and period of residence. How to get a voucher?","- Бесплатное жилье на Airbnb для женщин с детьми. Жилье предоставляют беженцам от неправительственной организации Nova Ukraine и Марш женщин. Они будут выдавать ваучеры номиналом в 1000-2000 евро со сроком использования, а вы сами сможете выбирать жилье и период проживания. Как получить ваучер?"
acc_settlement_p1_4,Ваучер від Nova Ukraine деталі,Voucher from Nova Ukraine details,Ваучер от Nova Ukraine детали.
acc_settlement_p1_4_link,https://www.refugees.novaukraine.org/uk/housing,,
acc_settlement_p1_5,Ваучер від Марш жінок деталі в телеграм боті @Marshzhinok_bot,Voucher from the March of Women details in the telegram bot @Marshzhinok_bot,Ваучер от Марш женщин детали в телеграмм боте @Marshzhinok_bot
acc_settlement_p1_5_link,https://t.me/Marshzhinok_bot,,
acc_settlement_p1_7,"- Якщо ви бажаєте самостійно знайти або зняти житло, можна пошукати безкоштовне житло на сайті kinnisvara24.delfi.ee","- If you want to find a place by yourself, you may look for free offers on kinnisvara24.delfi.ee",- Если вы хотите арендовать квартиру самостоятельно сначала посмотрите бесплатные опции на kinnisvara24.delfi.ee
acc_settlement_p1_7_link,https://kinnisvara24.delfi.ee/ru/ukraini,https://kinnisvara24.delfi.ee/en/ukraini,
acc_settlement_p1_8,також є варінти на сайті icanhelp.host,,
acc_settlement_p1_8_link,https://icanhelp.host/,,
acc_settlement_p2_1,", а все житло в оренду доступне на порталах kv.ee та city24.ee",", and all housing for rent is available on the portals kv.ee та city24.ee",", а все жилье в аренду доступно на порталах kv.ee та city24.ee"
acc_settlement_p2_1_link_1,https:/www.kv.ee,,
acc_settlement_p2_1_link_2,https:/www.city24.ee,,
acc_settlement_p3_1,"- Якщо ви рятуєтеся з окупованих територій через територію РФ і вам потрібна допомога з побудовою маршруту та транспортом після перетину кордону з Естонією, ви можете написати в організацію Друзі Маріуполя: відправте заявку в телеграмм бот: @mariupol_estonia_bot ","- If you are fleeing the occupied territories through Russian Federation and need help with building a route and transport after crossing the border with Estonia, you can write to the Friends of Mariupol organization: please write enquiry to telegram bot: @mariupol_estonia_bot ","- Если вы спасаетесь с оккупированных территорий через территорию РФ и вам нужна помощь с построением маршрута и транспортом после пересечения границы с Эстонией, вы можете написать в организацию Друзья Мариуполя: оставте заявку в телеграмм бот: @mariupol_estonia_bot"
acc_settlement_p3_1_link,https://t.me/mariupol_estonia_bot,,
acc_settlement_p3_2,вебсайт ,website,вебсайт 
acc_settlement_p3_2_link,https://helihool.ee/index.html,,
acc_settlement_p3_3,facebook,facebook,
acc_settlement_p3_3_link,https://www.facebook.com/MariupoliSobrad,,
acc_settlement_p3_4,Волонтерів організації можна знайти в Нарві у волонтерському центрі біженців (Vaksali 19) та в Талліні на автовокзалі (Lastekodu 46).,Volunteers from Friends of Mariupol can be found in Narva at the Refugee Center (Vaksali 22) and in Tallinn at the bus station (Lastekodu 46).,Волонтеров организации можно найти в Нарве в волонтерском центре беженцев (Vaksali 19) и в Таллинне на автовокзале (Lastekodu 46).
acc_settlement_p4_1,"- Також, запитати поради завжди можна в фейсбук групі українців в Естонії ",- For any kind of questions you can use Ukrainians in Estonia group ,- По любым вопросам вы можете использовать группу Украинцы в Эстонии 
acc_settlement_p4_1_link,https://www.facebook.com/groups/1548399682110889,,
acc_settlement_p5_1,- Сторінка Естонського центру біженців: ,- Estonian Refugee Council page  ,- Страница Эстонского совета по делам беженцев 
acc_settlement_p5_1_link,https://www.facebook.com/pagulasabi,,
acc_donation_h1,Я хочу допомогти   ,I want to help,Я хочу помочь
acc_donation_h2_1,Варіант 1,Option 1,Вариант 1
acc_donation_p1_1,"Якщо ви хочете долучитися до купівлі тактичних речей, їжі та ліків фінансово, кошти можна відправити на EE151010052032024005, отримувач Ukraina Kreeka-Katoliku Kiriku Kogudus Tallinnas з призначенням платежу ""charitable donation to Ukraine”. Як донор, ви отримаєте відшкодування податку на прибуток зі своєї пожертви. Звіт буде опубліковано на цьому сайті. ","If you want to join the purchase of tactical gear, food and medicines financially, the funds can be sent to EE151010052032024005, recipient Ukraina Kreeka-Katoliku Kiriku Kogudus Tallinnas with the purpose of payment ""charitable donation to Ukraine"". As a donor, you will receive a refund of income tax on your donation. The report will be published on this site.  ","Если вы хотите финансово присоединиться к закупке боеприпасов и медикаментов, то средства можно отправить на EE151010052032024005, получателю Ukraina Kreeka-Katoliku Kiriku Kogudus Tallinnas с целью оплаты ""charitable donation to Ukraine"". Как жертвователь, вы получите возмещение подоходного налога на ваше пожертвование. Отчет будет опубликован на этом сайте."
acc_donation_p1_1_video,https://www.youtube.com/embed/K1hzfU7orKA,,
acc_donation_h2_2,Варіант 2,Option 2,Вариант 2
acc_donation_p2_1,"Долучитись до волонтерської організації Друзі Маріуполя, щоб допомагати українцям які рятуються з окупованих територій через територію РФ до Естонії та далі в Європу - заповніть анкету
",Join the Friends of Mariupol volunteer organization to help Ukrainians fleeing the occupied territories through Russian Federation to Estonia and further to Europe - fill out the form ,"Присоединиться к волонтерской организации Друзья Мариуполя, чтобы помогать украинцам спасающимся с оккупированных территорий через территорию РФ в Эстонию и далее в Европу – заполните анкету "
acc_donation_p2_1_link,https://docs.google.com/forms/d/1Oeedk7tiXsaz0OYymeV3-YUHskokMOk3-aZ9fKqMB0Q/edit,,
acc_donation_p2_2,"Якщо на регулярну допомогу у вас недостатньо вільного часу, вони також публікують поодинокі прохання про допомогу в каналах Telegram. Підписуйтесь і відгукуйтесь на ті завдання, де можете допомогти:","If you don't have free time for regular help, we also publish occasional requests for help in our Telegram channels. Please subscribe and take the tasks that you can help with: ","Если на регулярную помощь недостаточно времени, мы публикуем единичные просьбы о помощи в каналах в Telegram. Подписывайтесь и откликайтесь на те задачи, где можете помочь:"
acc_donation_p2_3,Таллін,Tallinn,Таллинн
acc_donation_p2_3_link,https://t.me/help_mariupol_friends_tallinn,,
acc_donation_p2_4,"Нарва
",Narva,Нарва
acc_donation_p2_4_link,https://t.me/help_mariupol_friends_narva,,
acc_donation_p2_5,"Також можна допомогти друзям Маріуполя фінансово – на закупівлю продуктів, квитків, необхідних речей, оплати тимчасового житла, транспорту. Посилання 
","Apart from the volunteer help, we need financial help too – to buy food, tickets, some necessary things, and pay for temporary accommodation and transportation: ","Помимо волонтерской помощи, нам очень нужна финансовая – на закупку продуктов, билетов, необходимых вещей, оплаты временного жилья, транспорта: "
acc_donation_p2_5_link,https://helihool.ee/index.html#donate,,
,,,
acc_donation_h2_3,Варіант 3,Option 3,Вариант 3
acc_donation_p3_1,Mобільний додаток eachother.app для підтримки українських біженців: у додатку люди можуть запропонувати та попросити конкретну допомогу. Деталі,Mobile application eachother.app  to support Ukrainian refugees: in the application people can offer and ask for specific help. Details,Мобильное приложение  eachother.app для поддержки украинских беженцев: в приложении люди могут предложить и попросить конкретную помощь. Подробности
acc_donation_p3_1_link,https://eachother.app/ukr,https://eachother.app/eng,https://eachother.app/rus
acc_donation_h2_4,Варіант 4,Option 4,Вариант 4
acc_donation_p4_1,"Прихистити, працевлаштувати, надати інші послуги біженцям - заповнюйте анкету на сайті pagulasabi.ee","Shelter, employ or provide other services to refugees - fill out the form on pagulasabi.ee website","Приютить, трудоустроить или оказать другие услуги беженцам - заполните форму на pagulasabi.ee вебсайте"
acc_donation_p4_1_link,https://www.pagulasabi.ee/ru/predlozhit-pomoshch,,
acc_donation_p4_2,Також можна додати своє житло на icanhelp.host якщо ви можете когось прихистити: ,You can also add your home address to icanhelp.host if you can host somebody:,Также можно добавить свое жилье на icanhelp.host если вы можете предоставить жилье:
acc_donation_p4_2_link,https://icanhelp.host,,
acc_donation_h2_5,Варіант 5,Option 5,Вариант 5
acc_donation_p5_1,"Стати ментором по інтеграції або працевлаштуванню, перекладати або навчати естонської мови - заповнюйте анкету на сайті pagulasabi.ee","Become a mentor for integration or employment, translate from or teach Estonian - fill out the form on pagulasabi.ee website","Стать ментором по интеграции или трудоустройству, перевести с эстонского или научить - заполните форму на pagulasabi.ee вебсайте"
acc_donation_p5_1_link,https://www.pagulasabi.ee/ru/stante-volonterom,,
acc_donation_h2_6,Варіант 6,Option 6,Вариант 6
acc_donation_p6_1,"Пожертвувати кошти Українському Культурному Центру, який займається допомогою мешканцям прифронтових сіл: ","Donate funds to the Ukrainian Cultural Center, which provides assistance to the residents of frontline villages: ","Пожертвовать средства Украинскому культурному центру, который оказывает помощь жителям прифронтовых сел: "
acc_donation_p6_1_link,https://www.ukrainaheaks.ee/ru/ukrayinskiy-kulturniy-centr,,
acc_donation_h2_7,Варіант 7,Option 7,Вариант 7
acc_donation_p7_1,"Принести гуманітарну допомогу - предмети гігієни (мило, зубні пасти, зубні щітки, підгузники, гігієнічні прокладки тощо), одяг, дитячі речі, постільну білизну, ковдри, подушки, рушники на адреси: ","Bring humanitarian aid - hygiene items (soap, toothpaste, toothbrushes, diapers, sanitary pads, etc.), clothes, baby items, bedding, blankets, pillows, towels to: ","Принести гуманитарную помощь - предметы гигиены (мыло, зубную пасту, зубные щетки, пеленки, прокладки и т.д.), одежду, детские вещи, постельное белье, одеяла, подушки, полотенца  на:"
acc_donation_p7_2,"- Tallinn, Kopli 70A. Деталі на сайті dushkacosmetics.com","- Tallinn, Kopli 70A. Details on dushkacosmetics.com website","- Tallinn, Kopli 70A. Больше информации на dushkacosmetics.com сайте"
acc_donation_p7_2_link,https://dushkacosmetics.com/ru/news/dushka-avas-pohja-tallinnas-kogumispunkti-ukraina-toetuseks/data,,
acc_donation_p7_3,"- Tartu, Ülikooli 18B - кожного дня 10:00 - 18:00   ","- Tartu, Ülikooli 18B - every day 10:00 - 18:00  ","- Tartu, Ülikooli 18B - каждый день 10:00 - 18:00   "
acc_donation_h2_8,Варіант 8,Option 8,Вариант 8
acc_donation_p8_1,Пожертвувати кошти подзвонивши на номери естонських благодійних організацій:,Donate money by calling the numbers of Estonian charities:,"Пожертвуйте деньги, позвонив по номерам эстонских благотворительных организаций:"
acc_donation_p8_2,Eesti Pagulasabi:,Eesti Pagulasabi:,Eesti Pagulasabi:
acc_donation_p8_3,"- Подзвонивши за номером 9003801, ви жертвуєте 5 євро","- By calling 9003801, you donate 5 euros","- Позвонив по номеру 9003801, вы жертвуете 5 евро"
acc_donation_p8_4,"- Подзвонивши за номером 9003802, ви жертвуєте 10 євро","- By calling 9003802, you donate 10 euros","- Позвонив по номеру 9003802, вы жертвуете 10 евро"
acc_donation_p8_5,"- Подзвонивши за номером 9003803, ви жертвуєте 50 євро","- By calling 9003803, you donate 50 euros","- Позвонив по номеру 9003803, вы жертвуете 50 евро"
acc_donation_p8_6,Mondo:,Mondo:,Mondo:
acc_donation_p8_7,- Подзвонивши за номером 9000380 ви жертвуєте 5 євро,- By calling 9000380 you donate 5 euros,- Позвонив по номеру 9000380 вы жертвуете 5 евро
acc_donation_p8_8,"- Подзвонивши за номером 9000381, ви жертвуєте 10 євро","- By calling 9000381, you donate 10 euros","- Позвонив по номеру 9000381, вы жертвуете 10 евро"
acc_donation_p8_9,"- Подзвонивши за номером 9000382, ви жертвуєте 50 євро","- By calling 9000382, you donate 50 euros","- Позвонив по номеру 9000382, вы жертвуете 50 евро"
acc_donation_h2_9,Варіант 9,Option 9,Вариант 9
acc_donation_p9_1,Замовляти послуги у представників українського бізнесу у вашому регіоні. Ви можете знайти деякі на карті dopomogo.com,Order services from representatives of Ukrainian business in your region. You can find some on the map dopomogo.com,Заказывать услуги у представителей украинского бизнеса в вашем регионе. Вы можете найти некоторые на карте dopomogo.com
acc_donation_p9_1_link,https://www.dopomogo.com,,
acc_iWantToHelp_email1,estonia.for.ukraine@gmail.com,,
email_h1,Email,,
email_p1,estonia.for.ukraine@gmail.com,,
social_h1,Соціальні мережі,Social networks,Социальные сети
social_link1,https://www.facebook.com/groups/1548399682110889,,
social_p1,Допомога біженцям з України,Helping refugees from Ukraine  ,Помощь беженцам из Украины
